"Notes"	"Census Region"	"Census Region Code"	"State"	"State Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"1999"	"1999"	"Unintentional"	"1"	1034	3386401	30.5
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"1999"	"1999"	"Suicide"	"2"	274	3386401	8.1
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"1999"	"1999"	"Homicide"	"3"	120	3386401	3.5
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"1999"	"1999"	"Undetermined "	"4"	48	3386401	1.4
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"1999"	"1999"	"Legal Intervention / Operations of War"	"5"	Suppressed	3386401	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"1999"	"1999"	"Non-Injury, no intent classified"	"9"	27968	3386401	825.9
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2000"	"2000"	"Unintentional"	"1"	1175	3405565	34.5
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2000"	"2000"	"Suicide"	"2"	304	3405565	8.9
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2000"	"2000"	"Homicide"	"3"	95	3405565	2.8
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2000"	"2000"	"Undetermined "	"4"	38	3405565	1.1
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2000"	"2000"	"Legal Intervention / Operations of War"	"5"	Suppressed	3405565	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2000"	"2000"	"Non-Injury, no intent classified"	"9"	28517	3405565	837.4
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2001"	"2001"	"Unintentional"	"1"	1056	3432835	30.8
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2001"	"2001"	"Suicide"	"2"	283	3432835	8.2
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2001"	"2001"	"Homicide"	"3"	172	3432835	5.0
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2001"	"2001"	"Undetermined "	"4"	44	3432835	1.3
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2001"	"2001"	"Legal Intervention / Operations of War"	"5"	Suppressed	3432835	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2001"	"2001"	"Non-Injury, no intent classified"	"9"	28272	3432835	823.6
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2002"	"2002"	"Unintentional"	"1"	1182	3458749	34.2
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2002"	"2002"	"Suicide"	"2"	260	3458749	7.5
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2002"	"2002"	"Homicide"	"3"	98	3458749	2.8
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2002"	"2002"	"Undetermined "	"4"	36	3458749	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2002"	"2002"	"Legal Intervention / Operations of War"	"5"	Suppressed	3458749	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2002"	"2002"	"Non-Injury, no intent classified"	"9"	28545	3458749	825.3
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2003"	"2003"	"Unintentional"	"1"	1112	3484336	31.9
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2003"	"2003"	"Suicide"	"2"	272	3484336	7.8
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2003"	"2003"	"Homicide"	"3"	107	3484336	3.1
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2003"	"2003"	"Undetermined "	"4"	10	3484336	0.3 (Unreliable)
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2003"	"2003"	"Legal Intervention / Operations of War"	"5"	Suppressed	3484336	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2003"	"2003"	"Non-Injury, no intent classified"	"9"	28126	3484336	807.2
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2004"	"2004"	"Unintentional"	"1"	1261	3496094	36.1
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2004"	"2004"	"Suicide"	"2"	294	3496094	8.4
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2004"	"2004"	"Homicide"	"3"	110	3496094	3.1
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2004"	"2004"	"Undetermined "	"4"	27	3496094	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2004"	"2004"	"Legal Intervention / Operations of War"	"5"	Suppressed	3496094	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2004"	"2004"	"Non-Injury, no intent classified"	"9"	27621	3496094	790.1
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2005"	"2005"	"Unintentional"	"1"	1134	3506956	32.3
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2005"	"2005"	"Suicide"	"2"	295	3506956	8.4
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2005"	"2005"	"Homicide"	"3"	107	3506956	3.1
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2005"	"2005"	"Undetermined "	"4"	26	3506956	0.7
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2005"	"2005"	"Legal Intervention / Operations of War"	"5"	Suppressed	3506956	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2005"	"2005"	"Non-Injury, no intent classified"	"9"	27904	3506956	795.7
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2006"	"2006"	"Unintentional"	"1"	1302	3517460	37.0
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2006"	"2006"	"Suicide"	"2"	292	3517460	8.3
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2006"	"2006"	"Homicide"	"3"	132	3517460	3.8
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2006"	"2006"	"Undetermined "	"4"	25	3517460	0.7
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2006"	"2006"	"Legal Intervention / Operations of War"	"5"	Suppressed	3517460	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2006"	"2006"	"Non-Injury, no intent classified"	"9"	27509	3517460	782.1
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2007"	"2007"	"Unintentional"	"1"	1343	3527270	38.1
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2007"	"2007"	"Suicide"	"2"	271	3527270	7.7
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2007"	"2007"	"Homicide"	"3"	106	3527270	3.0
